順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
1138,かなみゅーじっく-音琴かなみ-,,,"6,000","109,703"
1139,#방해금지,,,"5,990","1,124,080"
1140,人生つみこ,,,"5,990","355,611"
1141,ちゃらんぽらん隊,,,"5,990","222,039"
1142,まるるんずチャンネル,,,"5,980","282,300"
1143,ときなの巣箱【TOKINA Channel】,,,"5,970","128,187"
1144,アベレージChannel,,,"5,970","88,383"
1145,Re:AcT公式,Re:AcT / リアクト,Re:AcT,"5,960","60,465"
1146,奈日抽ねね,ねねとゆかいな仲間たち,GEMS COMPANY,"5,950","369,825"
1147,葉月みゆ,,,"5,930","128,645"
1148,八乙女のえ / YaotomeNoe,,,"5,920","42,141"
1149,Ichika Channel,,,"5,890","317,432"
1150,没落お嬢様ちゃんねる,,,"5,880","315,588"
1151,黒咲りん(今日は何の日),りんの今日は何の日,,"5,870","378,669"
1152,兎紗みみ,Usamimi Channel,,"5,850","425,965"
1153,Dapperly Yours,,,"5,840","403,378"
1154,Hirai Virtual no Karada,,,"5,840","220,304"
1155,sifar Vtuber,,,"5,840","165,844"
1156,雛見沢くるみ,,元ぴぐまりおん。,"5,830","94,850"
1157,バフコチャンネル,,,"5,820","300,014"
1158,観影みゆ,,ユメノグラフィア,"5,810","110,346"
1159,けんまちゃんねる,,,"5,800","115,077"
1160,遠野莉緒奈,遠野 莉緒奈【Date Links!】,Date+Links!,"5,780","411,922"
1161,猿楽町双葉,FutabaCh. 猿楽町双葉,,"5,780","94,058"
1162,バーチャルモデラー時雨1213,,,"5,770","1,515,727"
1163,レン,,,"5,760","4,903,356"
1164,みるきぃ,MilkyTube/みるきぃ,,"5,750","337,558"
1165,Fairy mint channel / ミント【苺だいふく】,,,"5,730","351,424"
1166,九重このの,Conono Ch -九重このの!-,もちぷろ,"5,730","133,143"
1167,チェリ高帰宅部,,upd8,"5,720","449,734"
1168,second,,,"5,700","2,743,907"
1169,Arcadia L.E. Projectバリトンエルフ,,,"5,700","1,918"
1170,夢野千春,,,"5,690","2,877,895"
1171,朝ノ瑠璃【清楚】,,,"5,680","31,795"
1172,にししゃん,,,"5,670","1,725,009"
1173,ミーゴ クトゥルフ系vtuber,,,"5,670","205,577"
1174,朝霞しお,,元ぴぐまりおん。,"5,650","111,695"
1175,音羽雫,音羽雫の「頑張りすぎない!ちゃんねる」,GEMS COMPANY,"5,640","281,810"
1176,ソフィア コード,そふぃらいちゃんねる,IRIAM,"5,630","5,827"
1177,ア・プチ,,らいとあっぷ,"5,620","242,527"
1178,人間と永遠-ひとととわ-,,,"5,620","103,581"
1179,音崎リタちゃんねる,,,"5,610","114,034"
1180,大田マト,,,"5,590","108,252"
1181,星宮ぐみ,ぐみちゃんねる,,"5,580","171,550"
1182,イ・シウ,이시우 / Siu Lee 【NIJISANJI KR】,NIJISANJI KR,"5,580","90,362"
1183,七海 波音 nanami hanon,,,"5,580","46,765"
1184,【OZ】まーちゃん先輩,,,"5,560","839,735"
1185,Vtuberねき,,,"5,560","466,074"
1186,私立いちご女学院,,,"5,560","142,353"
1187,バーチャルきくらげ,,,"5,560","131,183"
1188,苺葉ふえ/15PAFE channel,,,"5,530","168,796"
1189,よしださきちゃんねる！,,,"5,520","1,026,274"
1190,天音マホ,Amane Maho / 天音マホ,upd8,"5,510","153,629"
1191,きせり1号,,,"5,510","94,922"
1192,Hikari Popova Channel,,,"5,500","167,376"
1193,チャンネル登録者の数だけポリゴン数が増えていくVtuber,,,"5,500","114,838"
1194,夜枕ギリー,,,"5,480","353,117"
1195,バーチャルYouTuberツーコ2106,,,"5,470","563,338"
1196,橘ひなの / Hinano Tachibana,,ぶいすぽっ!,"5,460","116,535"
1197,湊音みなみ,みみみch / 湊音みなみ,しゅがすて,"5,450","354,884"
1198,はなつぐ,,,"5,450",0
1199,"アニメチャンネル by Lide, Inc.",,,"5,440","2,402,702"
1200,白二郎とアライグマ博士,,,"5,430","229,532"
1201,黒桐アリア,黒桐アリアちゃんねる,,"5,420","111,394"
1202,ユ・ルリ,유루리 / Ruri Yu 【NIJISANJI KR】,NIJISANJI KR,"5,420","62,134"
1203,Inssomniax,,,"5,410","3,686,523"
1204,有都あらゆる,,,"5,410","27,092"
1205,ひのちゃんねる/hinochannel,,,"5,390","244,526"
1206,えるきらチャンネル,,,"5,390","177,679"
1207,Aitzu Arashi - Youtuber Virtual,,,"5,370","304,905"
1208,とりしまり,,,"5,360","4,238,466"
1209,メタキャット,,,"5,360","392,583"
1210,世界クルミ JKChannel,,,"5,350","311,616"
1211,真白くま,,,"5,330","83,768"
1212,Re:A projecT,,Re:AcT,"5,310","259,982"
1213,猫々,猫々【MarbleCreators】,Marble Creators,"5,300","268,387"
1214,カナデレミ,,,"5,300","73,437"
1215,燈火ミリ,燈火ミリ/Mili_Channel,空想コード+,"5,293","19,876"
1216,みみこ,,,"5,290","473,518"
1217,れらたん,れらたん,,"5,280","678,516"
1218,銀めくる(しろがねめぐる),めくちゃんねる,,"5,280","143,273"
1219,Nyako Ch / 招福にゃこ,,,"5,250","105,424"
1220,水凪自由,水凪自由,VEEMusic,"5,250","104,456"
1221,Mia,Mia Channel,IRIAM,"5,250","51,291"
1222,陽夏のの,陽夏のの/HinatsuNono,,"5,230","133,187"
1223,Aya Kagura,,,"5,210","383,809"
1224,アエルちゃんねる,,,"5,210","126,357"
1225,七草くりむ / Crim Nanakusa,,,"5,190","181,601"
1226,サムズ・ボボ親指系vtuber,,,"5,190","64,775"
1227,プリュネ,,,"5,180","147,706"
1228,erima,,,"5,180","40,445"
1229,牛さんちゃんねる,,,"5,150","311,898"
1230,447 Records,,,"5,150","86,787"
1231,小田管男,,IRIAM,"5,140","161,674"
1232,スポンジノブ,,,"5,130","128,877"
1233,Mira Pink,,,"5,120","70,801"
1234,響木アオ(サブ),Hibiki Ao 2nd,upd8,"5,120","47,029"
1235,ぽんちゃんねる。,,,"5,110","795,772"
1236,巣黒るい,すくろーるちゃんねる!!! ／ 巣黒るい,,"5,100","165,701"
1237,眠居ふわり,眠居ふわりのふわり塾,WFLE,"5,100","144,261"
1238,クロノロク,,ViViD,"5,100","36,407"
1239,なちゅモカ,なちゅモカ / Nachumocha Channel,,"5,090","1,400,380"
1240,モカ,もかちゃんねる【 Project ShoveL 】,ShoveL,"5,090","503,329"
1241,どうぶつのともだち。,,,"5,090","214,391"
1242,秋里夢女子 《みのりゆめこ》Vの民,,,"5,090","155,191"
1243,ロイヤルタイム,,,"5,060","725,428"
1244,胡桃いく * もふかごちゃんねる *,,,"5,060","226,332"
1245,이로하 / Roha Lee 【NIJISANJI KR】,,,"5,060","101,321"
1246,長兎路こより,【Koyori Channel】こよりチャンネル,,"5,060","68,793"
1247,ましろちゃんねる。-Mashiro Channel-,,,"5,050","162,938"
1248,天曰ひよ,,,"5,040","166,182"
1249,エンジンかずみ,,upd8,"5,030","1,515,153"
1250,ぷりもう《 irohiza 》,,,"5,010","1,354,588"
1251,ぶっちゃんねる,,,"5,010","516,243"
1252,聖グレイル,聖グレイル【ユメノグラフィア】,ユメノグラフィア,"5,000","138,533"
1253,冷水ぬるめ/歌う女子高生の作曲VTuber,,,"5,000","101,455"
1254,迅雷 蒼/あお-プラモとイラスト好き,,,"4,990","5,828,456"
1255,ツクモちゃんねる,,,"4,990","517,427"
1256,兎咲ミミ,兎咲ミミ / Tosaki Mimi,ぶいすぽっ!,"4,990","110,984"
1257,SML - Shade Music Laboratory - Channel,,,"4,970","874,900"
1258,Games屍鬼,,,"4,970","761,833"
1259,雪姫りんご,雪姫りんご/Ringo Channel【おとりざ】,Marble Creators,"4,970","150,241"
1260,BlueArpeggio,,,"4,950","1,618,608"
1261,みるみるぷりん,みるみるぷりんChannel,,"4,930","86,433"
1262,幽霊少年 100菌,,,"4,920","275,000"
1263,210Ri_CH,,,"4,920","85,218"
1264,らむ太郎,,,"4,910","1,095,615"
1265,のえろちさん と さきゅば のえ - VTuber準備中,,,"4,910","90,803"
1266,惑星のパンくん,,,"4,900","670,988"
1267,逢坂まの,,,"4,890","41,189"
1268,channel stickman,,,"4,880","274,912"
1269,クロイリク kuroi_riku_channel,,,"4,880","61,240"
1270,桃知みなみ,MINAMI MOMOCHI,,"4,860","228,184"
1271,桃星愛花,桃星愛花 -まなちゃんねる,UUUM,"4,850","265,734"
1272,PeachVTB Ch.,,,"4,830","58,105"
1273,格闘ゲーム激うま天帝バーチャルユーチューバー犬,,,"4,820","637,715"
1274,末代雨季。,,,"4,820","191,989"
1275,安堂いなり channel,,,"4,820","104,179"
1276,小日向りゅーじ,,VEEMusic,"4,820","103,568"
1277,ニパ子,ゴッドハンドムービー,転生組,"4,820","83,203"
1278,アザミ Channel,,,"4,800","157,947"
1279,白鳥天羽【バーチャル百合お嬢様】,,,"4,790","85,208"
1280,雪之ジョー,,,"4,780","2,288,890"
1281,バーチャルおじいちゃん / G3Games,,,"4,780","423,835"
1282,小花衣しぃ,,,"4,780","81,953"
1283,双成いなりのふたなりちゃんねる,,,"4,780","20,871"
1284,Azatu _VTuber,,,"4,775","4,342"
1285,OLちゃん寝る,,,"4,770","20,015"
1286,BOOGEY VOXX -official-,,,"4,760","272,425"
1287,ぴーす,,,"4,730","1,050,101"
1288,砂糖あむのおさとうぼいす！,,,"4,730","456,161"
1289,Nightmare ch -soirée-,,,"4,730","59,578"
1290,Mizuna Channel,,IRIAM,"4,720","250,517"
1291,ミミカMBD案内所,,バ美肉,"4,720","124,563"
1292,Sakuragi Channel / 桜木一葉,,,"4,700","314,841"
1293,白亜ルベ企画,,,"4,700","104,877"
1294,保崎メンマ,Hosaki Menma Channel,,"4,690","619,520"
1295,魔法少年 -いちゅぴーす,,,"4,690","205,755"
1296,ファンタス衛星通信,,,"4,690","126,591"
1297,縁楽九十九骨董店,,,"4,680","150,333"
1298,あひる,,,"4,670","55,020"
1299,ちゃんねるうるめ,,,"4,650","107,333"
1300,Lime,Lime Channel,WFLE,"4,650","99,845"
1301,羊娘めめ VTuber,,,"4,620","172,085"
1302,猟師あいちゃん,,,"4,620","169,691"
1303,Yunomi Yuno Official,,,"4,610","169,258"
1304,ひだまりラリアット,,,"4,600","252,142"
1305,食べる大谷さん,,,"4,600","116,402"
1306,kei efu,,,"4,590","2,187,809"
1307,バーチャル男の娘藍原八千夜,,,"4,590","147,057"
1308,菜花なな,菜花なな【ウクレレVtuber】,AVATAR2.0,"4,590","138,484"
1309,ナルミハヤセ,なるはやちゃんねる,,"4,580","229,031"
1310,小森ねね,,,"4,580","162,200"
1311,津軽りんこ,,,"4,580","32,964"
1312,黒須もあ,Xmoa_channel,,"4,570","1,907,845"
1313,魔鹿つの / Mazika Tuno,,Cottage,"4,570","134,949"
1314,榊つねこちゃんねる,,,"4,570","91,225"
1315,눈보라 / Bora Nun 【NIJISANJI KR】,,,"4,570","80,145"
1316,おっちーGAMES,,,"4,560","3,876,096"
1317,ニシカ'sわーくす,,,"4,560","243,317"
1318,Dali Channel/ウィッチ・ダリ・スイート,,,"4,560","229,105"
1319,ワタシch,,,"4,550","2,784,398"
1320,MeowieCakes,,,"4,550","1,897,520"
1321,テイリ/Noa Nikaido,,,"4,550","707,707"
1322,狗神由紀,,,"4,540","179,987"
1323,-Akatsuki Gen-暁 ゲン,,,"4,530","1,515,623"
1324,碧色のMIMI -DIVE LIVE JAPAN-,,,"4,520",0
1325,Noel Channel / 社居ノエル,,,"4,510","853,894"
1326,九條霞,Kasumi Channel,,"4,510","172,223"
1327,キキちゃんねる,,,"4,510","108,715"
1328,ウィフィ,위피 / Wiffy 【NIJISANJI KR】,NIJISANJI KR,"4,510","89,997"
1329,チェ・アラ,채아라 / Ara Chae 【NIJISANJI KR】,NIJISANJI KR,"4,500","101,040"
1330,Anon Shito紫桃あのん /,,,"4,490","133,287"
1331,カルロスピノ,,,"4,470","621,146"
1332,こぐまろチャンネル,,,"4,470","136,981"
1333,綴目日傘(つづりめひがさ),綴目日傘,ぱりぷろ,"4,470","18,215"
1334,Roaming Tuna,,,"4,460","1,216,705"
1335,星名こむ,Hoshina Com Channel,,"4,450","371,856"
1336,月子ちゃんねる,,,"4,450","263,723"
1337,Enji Notokunchoro,Enji N. Channel,,"4,450","80,349"
1338,Pixelko.Dot & Field,,,"4,450","54,419"
1339,塔綾絲ʕ•ᴥ•ʔタリンス,,VEgo,"4,450","11,419"
1340,寧々寝あげは,寧々寝あげは【ねねねぇちゃん寝る】,,"4,440","309,632"
1341,城乃柚希(しろのゆずき),城乃 柚希の虜になってってー!,GEMS COMPANY,"4,440","235,771"
1342,あらと安里,,,"4,440","7,079"
1343,おきゅたんbot / VRすきま動画,,,"4,430","381,214"
1344,ねこみみみ / nekomimimi,,,"4,420","1,618,400"
1345,実況司会者ケモノ外交官ゆきんこ,,,"4,410","132,543"
1346,一文字マヤ,マヤたそTV,GEMS COMPANY,"4,400","230,871"
1347,猫田かぶり/kaburiChannel,,,"4,390","305,691"
1348,仁木探偵事務所,,,"4,390","75,279"
1349,/Chisuzu Mei千鈴めい,,ぱりぷろ,"4,390",0
1350,陶音まの / 陶大知之FIL三部曲 : 倉科明日香單推,,,"4,380","1,196,763"
1351,かみゅ,,,"4,370","488,763"
1352,【English vtuber】 Mignar,,,"4,370","220,832"
1353,虚拟次元计划,,,"4,360","234,528"
1354,Junichi Channel,,,"4,360","76,468"
1355,Basil Channel【山森バジル】,,,"4,350","1,430,408"
1356,オボロリュウ,オボロリュウ バーチャルYouTuber,,"4,350","183,107"
1357,NOΔH,,,"4,340","151,577"
1358,ライゼンバイン燐夏,,,"4,340","45,655"
1359,ビハン,Vihaan【NIJISANJI IN】,NIJISANJI EN,"4,340","44,555"
1360,Vtuber界を見守るリス 【旧名 自己顕示欲が強いリス】,,,"4,330","1,669,396"
1361,ヒノ/hino,,,"4,320","595,941"
1362,ひそりちゃんねるっ,,,"4,320","258,493"
1363,望月のあ / MochidukiNoa,,,"4,320","127,986"
1364,Denom Rs,,,"4,310","1,565,615"
1365,Paparacha,,,"4,310","726,560"
1366,紺野和泉,和泉,VEEMusic,"4,310","31,935"
1367,有栖川ドットの冒険,,,"4,310","22,751"
1368,ADHD先生黒井,,,"4,300","117,528"
1369,そらまめちゃんねる,,,"4,280","291,059"
1370,玉城えりな,たまえりチャンネル,PinkPunkPro,"4,280","46,032"
1371,読谷山文乃,,,"4,270","178,712"
1372,緋赤エリオ,緋赤エリオhiseki_erio channel,ぱりぷろ,"4,270","53,938"
1373,薄紅のMOA -DIVE LIVE JAPAN-,,,"4,250","351,835"
1374,赤羽ユキノ,実録!赤羽ユキノの生態,GEMS COMPANY,"4,250","181,384"
1375,キミコチャンネル,,,"4,240","47,641"
1376,さくやちゃんねる - 葵桜玖耶,,,"4,230","94,253"
1377,りあむ。,,,"4,220","702,917"
1378,Aoi Sora Channel,,,"4,220","105,712"
1379,羽原ゆとり,,,"4,220","78,367"
1380,ぺぺりん,,,"4,210","1,042,683"
1381,れらたん,財団CKW,,"4,200","511,510"
1382,スズキセシル,,,"4,180","152,237"
1383,ANON,ANON KINGDOM,,"4,180","101,903"
1384,MaliceDiary,,,"4,170","634,554"
1385,電脳寺レト,レトちゃんねる,,"4,170","306,541"
1386,羽月奏ちゆ-Hatsuka Chiyu-,,,"4,170","112,323"
1387,白咲マト / Shirosaki Mato,,,"4,170","71,914"
1388,NoWorld Official,,,"4,160","69,383"
1389,花菱撫子(はなびしなでしこ),ごきげんよう、わたし花菱撫子です。,,"4,150","198,898"
1390,Mogura A.I. Channel,,,"4,140","370,385"
1391,Seishin,,,"4,140","215,604"
1392,オリス,Orith Log 宇宙貓箱,YahooTV,"4,130","80,906"
1393,タカヒメアオイのFXちゃんねる,,,"4,130","62,222"
1394,女帝セツナ,,,"4,120","67,805"
1395,もぐらちゃんねる,,,"4,110","1,362,125"
1396,鏡見みら/ Kagami Mira Project,,,"4,110","172,767"
1397,博多きくこ VTuber GAMES,,,"4,100","675,034"
1398,モナちゃんねる,,,"4,100","221,420"
1399,腹黒眼鏡/アニメを愛する者,,,"4,090","744,964"
1400,ひいらぎのぞみ,nozomi hiragi,,"4,090","139,675"
1401,産毛だよ,,,"4,080",0
1402,くらすたーちゃん,くらすたーちゃんねる,cluster,"4,070","231,323"
1403,有栖川レイカ,レイカのひみつの部屋,GEMS COMPANY,"4,060","110,445"
1404,cacalianz,,,"4,050","207,322"
1405,memex,,,"4,050","131,672"
1406,赤色れいんこーと,,,"4,040","97,249"
1407,羽苺丸 ひめか -Uimaru Himeka-,,,"4,030","475,245"
1408,バーチャル悪霊,,,"4,030","417,800"
1409,天秤ひなみ,,,"4,020","112,866"
1410,腐男子Vtuber黒崎ヴァイス,,,"4,010","202,028"
1411,Argama Witch,,,"4,000","237,871"
1412,ちゃんねる伏見やお,,,"4,000","148,214"
1413,ユメノウララ,,,"4,000","91,383"
1414,赤坂まさか -VSinger SongWriter-,,,"3,990","164,382"
1415,少年ペット巻望,,,"3,980","512,091"
1416,Δ,,,"3,960","219,341"
1417,そそぎはかえりたい,,,"3,960","121,466"
1418,愛尾みすず(愛尾家のケモ耳3姉妹が可愛過ぎる件について),愛尾みすず,愛尾家,"3,960","103,526"
1419,にゃるら,nyalra,,"3,950","56,307"
1420,Programastar.com/プログラマスター,,,"3,940","200,583"
1421,ReiDOLL-NOAH,,,"3,930","452,238"
1422,人工知能AI ユニ,,,"3,930","165,199"
1423,シュティー,,,"3,920","1,780,381"
1424,限界ポスドクあらいちゃんのゆるふわ分子生物学研究所,,,"3,920","236,403"
1425,フラヴィ,VNフラヴィ,,"3,920","66,775"
1426,[LPer hiryu channel]飛竜☆チャンネル[Japan],,,"3,910","1,097,546"
1427,文月みき mikiちゃんねる,,,"3,910","47,268"
1428,勇者ことね,ことねちゃんねる,IRIAM,"3,910","3,189"
1429,Amida・La・Bip,,,"3,900","1,960,550"
1430,NGW_sub,,,"3,890","569,726"
1431,*Arriate Channel* -アリアーテチャンネル-,,,"3,890","437,698"
1432,ギャラドスチャンネル,,,"3,880","1,513,534"
1433,熊野ぽえみ / POEMI ch.,,ZERO Project,"3,880","45,126"
1434,pie pie lie lie,,,"3,860","189,299"
1435,Robin.Games,,,"3,850","910,710"
1436,葉(よう),葉快ちゃんねる,えもえち,"3,850","136,503"
1437,桃丸ねくと,桃丸ねくとのもも もももッ!!,,"3,850","105,997"
1438,水梨あやりちゃん寝る,,,"3,840","52,660"
1439,天比良地高校オカルト研究会,,,"3,830","497,805"
1440,ハルカ,,,"3,820","3,601,783"
1441,たなとす/thana,,,"3,820","13,378"
1442,丹羽にわこ,丹羽にわこちゃんねる,バ美肉,"3,810","100,128"
1443,バーチャルエロドラゴンの巣,,,"3,807","2,393,914"
1444,人形劇系異世界Youtuber 高い城のアムフォ,,,"3,790","141,684"
1445,相羽絲依 / Aiu Itoi,,,"3,780","67,757"
1446,夜城明音(やしろあかね),Akane Yashiro,,"3,780","12,816"
1447,Sugar Stella[#しゅがすて],,しゅがすて,"3,770","194,325"
1448,スーピコゲームス,,,"3,760","813,157"
1449,えだ,,,"3,760","479,688"
1450,Kitsune Katsumi,,,"3,760","120,385"
1451,女神ちゃんねる[劇] ミナ・ルト,,,"3,760","100,935"
1452,Yuikai Channel,,,"3,760","35,605"
1453,ルンナ,ルンナ/ Lunna,,"3,750","194,964"
1454,人造人間ジンゾウ,,,"3,740","88,901"
1455,小澄らんか,RANKA GAMES,VDC,"3,730","101,194"
1456,蜂乃蜜味のはちみつちゃんねる,,,"3,730","36,191"
1457,シュティー,,,"3,720","2,293,164"
1458,LINE CAFE,,,"3,720","2,232,650"
1459,Kite Channel,,,"3,720","217,012"
1460,牡丹きぃ(ゲーム),牡丹きぃGames,,"3,720","79,581"
1461,四月一日さん家のChannel,,,"3,720","71,873"
1462,瀧上りと,瀧上りとちゃんねる,,"3,710","97,698"
1463,エモリミク - Miku Emori公式チャンネル,,,"3,710","96,216"
1464,兎芽,,,"3,710","66,056"
1465,しろすけVtuber,,,"3,710","60,986"
1466,猫麦とろろ // nekomugi tororo,,,"3,700","58,348"
1467,니어니아NearNia,,,"3,690","620,113"
1468,月野木チロル,,,"3,690","61,308"
1469,魔宮ベルChannel,,,"3,680","74,275"
1470,眞白かのん,/ Mashiro Kanon眞白かのん,,"3,680","35,735"
1471,肉片ちゃん,肉片ちゃん2nd,IRIAM,"3,670","1,670"
1472,つきちゃんねる/Tsuki ch.,,,"3,660","761,526"
1473,七色れあChannel,,,"3,660","215,018"
1474,愛守ノユリチャンネル,,IRIAM,"3,660","63,299"
1475,輝度るみなちゃんねる,,バ美肉,"3,650","158,133"
1476,なもちゃん,なもちゃんねる 七桃りお,バ美肉,"3,650","92,047"
1477,夢見ログ てんま,夢見家_てんま,空想コード+,"3,650","90,298"
1478,HACHI - VSinger -,,,"3,650","79,148"
1479,急電channel,,転生組,"3,640","1,339,350"
1480,葉月ナツ,NATSU Channel,,"3,640","97,655"
1481,イリスミア,ミアチャンネル,WACTOR,"3,640","76,288"
1482,るび様を崇めるチャンネル,,,"3,640","63,723"
1483,新川良,新川良,IRIAM,"3,640","6,158"
1484,かぷりんこっと,,,"3,630","175,434"
1485,胡蝶椛(Kochou Momiji),Kochou Momiji 胡蝶椛,OPEN BETA,"3,630","70,735"
1486,69on(音無むおん 音無くおん),69on Channel【音無むおん くおん】,,"3,620","249,304"
1487,もりこっこ,,,"3,610","47,484"
1488,伊集院ゼロ,伊集院ゼロ,,"3,600","359,169"
1489,ほぼ週刊キーボードニュース,,,"3,600","108,264"
1490,花町すみれ,,IRIAM,"3,600","65,606"
1491,放課後せーふく部ちゃんねる【アイキス2公式】,,,"3,600","63,473"
1492,マスターTV ゲームチャンネル,,,"3,600","2,328"
1493,焔機パイロ【ほむらぎパイロ】,,バ美肉,"3,590","231,331"
1494,天死ちゃん天界チャンネル,,IRIAM,"3,590","120,607"
1495,相馬琴葉の都市伝説,,,"3,580","575,368"
1496,秋田で釣る理由,,,"3,580","511,183"
1497,MC SAN,,,"3,580","88,934"
1498,コハクのおうち,,,"3,580","23,210"
1499,ラー油/らあゆちゃんねる,,,"3,570","1,453,906"
1500,七瀬 百音/ななせ もね,,,"3,570","90,363"
1501,METRO MEW / ECLAIR GROOVE,,,"3,570","67,941"
1502,英リサ,,ぶいすぽっ!,"3,560","44,858"
1503,ねぎろぐ,,,"3,550","561,817"
1504,第二えぬじんチャンネル,,,"3,550","167,553"
1505,白咲ユノハ,,,"3,550","152,012"
1506,蓬莱久遠,引きこもり久遠ちゃん寝る,えもえち,"3,550","117,933"
1507,うかみちゃんねる,,,"3,550","105,021"
1508,アイシィVソリッド,,,"3,540","150,766"
1509,虚無ちゃんねる,,,"3,530","161,801"
1510,二寺蒼五,2Terra channel.,,"3,530","107,893"
1511,少年メイドちゃんねるSyounenmaid Channel,,,"3,520","75,102"
1512,ShowVRChannel,,,"3,510","843,472"
1513,バムちゃんねる,,,"3,510","446,569"
1514,むにひめ*,,,"3,510","298,468"
1515,むらゆき,,,"3,510","96,440"
1516,岩手さちこ,岩手県公認VTuber 岩手さちこ,,"3,510","17,559"
1517,筆染四季(ふでそめしき),筆染四季,ユメノグラフィア,"3,500","67,068"
1518,Akuma Momo Ch.悪魔桃,,,"3,500","31,225"
1519,星河テフ,てふちゃんねる,空想コード+,"3,490","39,964"
1520,魔王ハンパナサス,雪雪崩 清隆yukinadare kiyotaka,,"3,480","132,453"
1521,wtkshe,,,"3,480","120,784"
1522,せやなせや,,,"3,480","69,973"
1523,丸餅つきみ,つきみCh/丸餅つきみ,Re:AcT,"3,480","58,213"
1524,京極エミーリア,京極エミーリア皐月【サークルみらん】,サークルみらん,"3,470","66,699"
1525,一颯れむ,Ibuki Rem Channel-一颯れむ-,,"3,460","821,799"
1526,SHiNO/雨ニマケテモ,,,"3,460","151,383"
1527,クーテトラチャンネル,,,"3,460","128,586"
1528,はちてん。 チャンネル,,,"3,460","105,752"
1529,ASMR 高槻りつ_Takatsuki Ritsu,,,"3,460","57,728"
1530,Sonic Logic Channel,,,"3,456",0
1531,姫川セリナ,姫川セリナ[勇者ズム!],勇者ズム！,"3,450","129,325"
1532,Tigonaguri Kodanetubusi,,,"3,420","184,115"
1533,天野声太郎,,,"3,420","61,907"
1534,千洛Chiro,,,"3,420","51,514"
1535,小鳥木よつば,,,"3,410","260,485"
1536,【こまりちゃんねる】桜こまり,,,"3,410","129,510"
1537,緋本アリス-Alice Hinomoto-,,,"3,410","109,173"
1538,Spica Channel,,,"3,410","58,839"
1539,はるぽぽちゃんねる,,,"3,410","42,619"
1540,脳筋魔法使い系Vtuber魔霧のお部屋,,,"3,400","819,834"
1541,電波ちゃん,電波ちゃんねる【バーチャルYoutuber】,,"3,400","74,642"
1542,まっちゃんねる,,Marble Creators,"3,380","125,851"
1543,remo 2700,,,"3,370","665,312"
1544,式部めぐり,,,"3,370","99,754"
1545,kapra kazami,,,"3,370","68,694"
1546,ちばねずみ,,,"3,360","191,514"
1547,みずか の そこはかとなく書きつくれば,,,"3,360","112,151"
1548,ミシマリProject,,,"3,360","62,263"
1549,桜夢なな,桜夢なな,ZERO Project,"3,350","55,328"
1550,白魔女のパンドラ,白魔女のパンドラ,OPEN BETA,"3,340","63,601"
1551,ミストラルwith きよひーれーしんぐ,,,"3,320","2,270,651"
1552,ずいえき,,,"3,320","1,522,837"
1553,リフ_プレーズ,,,"3,320","106,677"
1554,苺ノ森こひな,,ユメノグラフィア,"3,320","17,722"
1555,VESPERBELL(ヴェスパーベル),VESPERBELL,WFLE,"3,310","124,966"
1556,夢乃名菓の夢の中,,,"3,310","114,223"
1557,ジャスプロ正義野心,,,"3,310","7,862"
1558,シュティー,,,"3,293","611,905"
1559,月乃瀬ぅさぎ,ぅさぎちゃんねる,UUUM,"3,290","2,355,985"
1560,結城リノ- virtual singer -,,,"3,290","234,101"
1561,財部結菜,,,"3,290","195,463"
1562,絹漉もめん・谷屋楽,,バ美肉,"3,290","72,469"
1563,たらばかに子,,,"3,280","191,698"
1564,みーちゃんの政治ちゃんねる,,,"3,280","138,169"
1565,ストュラス・ウォール,,,"3,280","101,789"
1566,猫音すず,,,"3,280","58,960"
1567,バーチャル男の娘ユウ,,,"3,270","121,751"
1568,Yumemi Yumeiro,,,"3,270","96,146"
1569,隻翼フィナ,隻翼フィナStage!Fina's Wing/,,"3,260","196,436"
1570,こまつりなチャンネル,,,"3,240","193,876"
1571,胡蝶ナナ,胡蝶ナナKocho Nana,LUMILIA,"3,240","142,547"
1572,雑葉学美 - Sub Zouba,,,"3,240","108,821"
1573,まゆら。channel,,,"3,240","44,973"
1574,バーチャル日本兵oozora,,,"3,230","1,071,974"
1575,上海ゲーム部,,,"3,230","246,951"
1576,テリア,,,"3,230","119,425"
1577,とら_武装彼女,,武装彼女,"3,230","74,364"
1578,鐘ヶ江季里 三園命,キリ&ミコトちゃんねる,,"3,220","210,175"
1579,朝比奈美夜,朝比奈美夜【Date Links!】,Date+Links!,"3,220","114,793"
1580,くーちゃんねる / Akatsuki Clara,,,"3,220","81,381"
1581,もふもふ,,,"3,210","949,132"
1582,あんとちゃんねる,,,"3,210","66,222"
1583,黒瀬ミサ 黒瀬サバト,黒瀬家,空想コード+,"3,210","47,616"
1584,海音UTB,,,"3,210","7,616"
1585,CielArcオフィシャルチャンネル,,,"3,200","723,148"
1586,横井bit子Channel,,,"3,200","126,260"
1587,山田すずめ,,,"3,200","84,390"
1588,ユメノグラフィア公式,,ユメノグラフィア,"3,200","20,659"
1589,蓮希るい,,,"3,190","257,545"
1590,リオとツグ,,,"3,190","186,990"
1591,巫月しお,,,"3,190","120,982"
1592,とと1010,,,"3,190","105,390"
1593,Yuzuka Channel,,,"3,190","83,261"
1594,春原つくし,つくしちゃんねる,夢見坂学院,"3,180","195,309"
